first_name,last_name,username,email,password,phone,gender,dob
Chiamaka,Okafor,chiamaka31,chiamaka.okafor@gmail.com,chiamaka_okafor_901,08123456789,Female,09/10/1993
Oluwaseun,Obi,seunobi32,seun.obi@gmail.com,seunobi_0,08109876543,Male,07/22/1988,
Ifeyinwa,Amadi,ifyamadi33,ify.amadi@gmail.com,ifyamadi_567,08076543210,Female,04/11/1992
Chijindu,Okpara,chijindu34,chijindu.okpara@gmail.com,chijindu_okpara_0,08118765432,Male,11/14/1987
Omolara,Adeleke,omolara35,omolara.adeleke@gmail.com,omolara_adeleke_012,08092345678,Female,10/19/1990
Afolabi,Adisa,afolabi36,afolabi.adisa@gmail.com,afolabi_adisa_0,08108765432,Male,06/30/1985
Funmilayo,Adegoke,funmilayo37,funmilayo.adegoke@gmail.com,funmilayo_adegoke_0,08123210987,Female,09/14/1989
Jide,Ogunleye,jide38,jide.ogunleye@gmail.com,jide_ogunleye_0,08116543210,Male,02/25/1986
Chinwendu,Ndukwe,chinwendu39,chinwendu.ndukwe@gmail.com,chinwendu_ndukwe_0,08109876543,Female,01/08/1994
Olawale,Adewale,olawale40,olawale.adewale@gmail.com,olawale_adewale_0,08134567890,Male,08/07/1983
Ayomide,Bakare,ayomide41,ayomide.bakare@gmail.com,ayomide_bakare_123,08067890123,Female,03/25/1991
Tunde,Adeyemi,tunde42,tunde.adeyemi@gmail.com,tunde_adeyemi_456,08056789012,Male,12/18/1982
Kemi,Okeke,kemi43,kemi.okeke@gmail.com,kemi_okeke_789,08035678901,Female,05/08/1984
Emeka,Nwankwo,emeka44,emeka.nwankwo@gmail.com,emeka_nwankwo_234,08024567890,Male,08/02/1995
Ngozi,Eze,ngozi45,ngozi.eze@gmail.com,ngozi_eze_567,08013456789,Female,11/12/1986
Taiwo,Adebayo,taiwo46,taiwo.adebayo@gmail.com,taiwo_adebayo_890,08092345678,Male,04/30/1997
Chinyere,Igwe,chinyere47,chinyere.igwe@gmail.com,chinyere_igwe_012,08121234567,Female,06/23/1988
Oladimeji,Adeleke,oladimeji48,oladimeji.adeleke@gmail.com,oladimeji_adeleke_345,08145678901,Male,09/17/1999
Folake,Akintola,folake49,folake.akintola@gmail.com,folake_akintola_678,08088765432,Female,01/05/1990
